Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
John Hornick,@JHornick3D1Stop,2017-11-10T19:23:43.000Z,Best  #3Dprinting  thing I saw today: Sembcorp Marine to apply  additive manufacturing  in shipbuilding revolution  https:// marine-apply-additive-manufacturing-shipbuilding-revolution-124369/?utm_source=twitter&utm_medium=social&utm_campaign=social-pug …,0,0,0,0
Jasmine Arc,@ArcJasmine,2017-11-10T19:18:26.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Andrew Glover,@AZGearhead520,2017-11-10T20:05:54.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Dragonitous,@Dragonitous,2017-11-10T19:31:14.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Preston Garvey,@ColonelGarvey,2017-11-10T19:21:31.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Victor Ramos,@bisbaloso,2017-11-10T19:16:06.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Kenneth Pereira,@KennethPereira,2017-11-10T19:35:18.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Kumpul Mantan,@kumpulmantan,2017-11-10T19:30:36.000Z,Bearing  3D Printed  Jewelry by Giulio Iacchetti for Maison 203  http://,0,0,0,0
Justin Faris,@jfaris237,2017-11-10T19:16:47.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
rebecca schneider,@rschneider12200,2017-11-10T19:59:22.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Diane Giorgio,@mnj1dmb,2017-11-10T19:23:27.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
DonnaMarie Corvino,@DonnaCorvino,2017-11-10T20:30:25.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Kay Haen,@HaenKay,2017-11-10T19:07:39.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Joseph Acosta,@JosephA06680596,2017-11-10T20:22:33.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Mary Lane Allen,@mary2231,2017-11-10T19:15:42.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Maureen Rogers,@herbworld,2017-11-10T20:25:29.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
wolobah Kargbo,@wolly8065,2017-11-10T19:22:21.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
3D Printing News,@3DPrintGirl,2017-11-10T19:13:33.000Z,"MakeX Introduces Its First FDM  #3DPrinter , the MIGO https:// dm-3d-printer-migo/ … #3Dprinting",0,0,0,0
Fit-Well,@FitWellUT,2017-11-10T19:30:33.000Z,Here’s an interesting look at  3D printed  prosthetics and how they are changing lives:  https://,0,0,0,0
